0️⃣	клавіша: 0	0|клавіша|нуль
🎖️	військова медаль	відзнака|військова медаль|військовий|медаль|нагорода|святкування
🎗️	стрічка на згадку	пам’ятна стрічка|пам’ятний|святкування|стрічка|стрічка на згадку
🎙️	студійний мікрофон	мікрофон|музичний|студійний мікрофон|студія
🎚️	повзунок рівня	бігунець рівня|гучність|музичний|повзунок|повзунок рівня|рівень|рівень гучності
🎛️	обертові регулятори	елемент керування|кнопки керування|круглі регулятори|музичний|обертові регулятори|плита
🎞️	кадри кіноплівки	кадр на плівці|кадри|кадри кіноплівки|кіно|плівка|фільм
🎟️	вхідні квитки	вхідний|вхідні квитки|дозвіл|квиток
🎠	коник на каруселі	карусель|кінь|коник на каруселі|лицар|лицарський кінь
🎡	чортове колесо	колесо|колесо огляду|огляд|парк розваг|чортове колесо
🎢	американські гірки	американський|американські гірки|гірки|парк розваг
🎣	рибацька вудка	вудка|вудка і риба|риба|рибалка|рибацька вудка
🎤	мікрофон	караоке|мікрофон
🎥	кінокамера	зйомка|камера|кіно|кінокамера|фільм
🎦	кінематограф	зйомка|камера|кінематограф|кіно|фільм
🎧	навушники	навушники
🎨	палітра художника	картина|кольори|мистецтво|музей|палітра|палітра художника
🎩	циліндр (капелюх)	капелюх|одяг|фокус|циліндр|циліндр (капелюх)|чоловік
🎪	циркове шатро	намет|цирк|циркове шатро|цирковий намет
🎫	квиток	вхідний|квиток
🎬	кінохлопавка	зйомка|кінохлопавка|фільм|хлопавка
🎭	театральне мистецтво	бал|венеціанський|венеційський|вистава|маска|маскарад|театр
🎮	ігровий контролер	відеогра|гра|джойстик|ігровий контролер|контролер|управління
🎯	мішень із прямим влученням	«яблучко»|в яблучко|влучення|гра|дротик|мішень із прямим влученням|пряме попадання|точно|ціль
🎰	гральний автомат	азарт|Вегас|везіння|виграш|гра|гральний автомат|джекпот|залежність|ігровий|фарт
🎱	більярдна куля 8	8|більярд|більярдна куля|більярдна куля 8|вісім|куля|спорт
🎲	гральна кість	гра|гральна кість|гральний кубик|казино|кубик
🎳	куля і кеглі для боулінгу	боулінг|гра|куля і кеглі для боулінгу|м’яч|спорт
🎴	гральні карти з квітами (ханафуда)	гра|гральні карти з квітами|гральні карти з квітами (ханафуда)|грати|карта|ханафуда|японський
🎵	музична нота	музична нота|музичний|нота
🎶	музичні ноти	музика|музичний|музичні ноти|нота|ноти
🎷	саксофон	інструмент|музика|музичний|саксофон
🎸	гітара	гітара|інструмент|музичний
🎹	музична клавіатура	інструмент|клавіатура|музична клавіатура|музичний|піаніно
🎺	труба	інструмент|музичний|труба
🎻	скрипка	інструмент|музичний|скрипка
🎼	партитура	музичний|ноти|партитура|скрипковий ключ
🎽	бігова теніска	біг|бігова теніска|сорочка|спортивна форма|стрічка|футболка
🎾	тенісний м’яч	м’яч|ракетка|спорт|теніс|тенісний м’яч
🎿	лижі	лижі|сніг|спорт
🏀	баскетбольний м’яч	баскетбольний м’яч|кільце|м’яч|спорт
🏁	картатий прапор	картатий|картатий прапор|клічастий|перегони|прапор для перегонів|фініш
🏂	сноубордист	лижі|сніг|сноуборд|сноубордист|спорт
🏃	людина, що біжить	біг|змагання|людина|марафон|навздогін|поспішати|спорт|спортсмен|швидкий
🏃‍♀️	жінка, що біжить	біг|втеча|жінка|жінка, що біжить|змагання|на перегонки|спорт|що біжить
🏃‍♂️	чоловік, що біжить	біг|втеча|спорт|чоловік|чоловік, що біжить|що біжить
🏄	людина, що займається серфінгом	людина|океан|пляж|серфер|серфінг|спортсмен|хвилі
🏄‍♀️	серфінгістка	жінка|серфінг|серфінгістка|спорт
🏄‍♂️	серфінгіст	серфінг|серфінгіст|чоловік
🏅	спортивна медаль	золота медаль|медаль|спортивна медаль
🏆	приз	виграш|кубок|нагорода|перемога|приз|трофей
🏇	кінні перегони	біговий кінь|жокей|кінні перегони|кінь|перегони|спорт
🏈	мʼяч для американського футболу	американський|м’яч|м’яч для гри в американський футбол|мʼяч для американського футболу|спорт|футбол
🏉	мʼяч для регбі	американський футбол|м’яч|м’яч для гри в регбі|мʼяч для регбі|регбі|спорт|футбол
🏊	людина, що пливе	вода|водний спорт|людина|плавання|плавати|плавець|спорт|спортсмен|триатлон
🏊‍♀️	плавчиня	жінка|плавання|плавчиня|спорт
🏊‍♂️	плавець	плавання|плавець|чоловік
🏋️	важкоатлет	бодібілдер|важкоатлет|людина|людина піднімає штангу|паверліфтинг|спорт|спортсмен|станова тяга|тягар
🏋️‍♀️	штангістка	важка атлетика|жінка|людина|силачка|спорт|тренування|штангістка
🏋️‍♂️	штангіст	важка атлетика|чоловік|штангіст
🏌️	людина, що грає в гольф	гольф|гольфіст|ключка|клюшка|людина|м’яч|поле|спортсмен|удар
🏌️‍♀️	гольфістка	гольф|гольфістка|жінка|спорт
🏌️‍♂️	гольфіст	гольф|гольфіст|чоловік
🏍️	мотоцикл	мотоцикл|перегони
🏎️	cпортивний автомобіль	cпортивний автомобіль|автомобіль|перегони
🏏	бита і мʼяч для крикету	бита|бита і мʼяч для крикету|гра|крикет|м’яч|спорт
🏐	волейбольний м’яч	волейбол|волейбольний м’яч|гра|м’яч|спорт
🏑	ключка і мʼяч для хокею на траві	гра|ключка|ключка і мʼяч для хокею на траві|м’яч|поле|хокей|хокей на траві
🏒	ключка і шайба для хокею	гра|ключка|ключка і шайба для хокею|лід|спорт|хокей|шайба
🏓	ракетка і кулька для пінг-понгу	кулька|пінг-понг|ракетка|ракетка і кулька для пінг-понгу|спорт|стіл|теніс
🏔️	гора із засніженою верхівкою	Альпи|гора|гора із засніженою верхівкою|Еверест|Ельбрус|засніжена гора|сніг|холодний
🏕️	кемпінг	кемпінг|похід
🏖️	пляж і парасолька	відпочинок|парасоля|пляж|пляж і парасолька
🏗️	спорудження будівлі	будівля|спорудження|спорудження будівлі
🏘️	група будинків	будинок|будівля|вулиця|група будинків
🏙️	міський краєвид	будівля|вечір|краєвид міста|місто|міський краєвид|сутінки в місті
🏚️	занедбаний будинок	будинок|будівля|заброшений|занедбаний будинок|покинутий|сарай|стара будівля
🏛️	антична будівля	антична будівля|будівля|доричні колони|класичний|колони
🏜️	пустеля	оаза|пустеля
🏝️	безлюдний острів	безлюдний|берег|острів|пальма
🏞️	національний парк	картина|ландшафт|національний парк|парк
🏟️	стадіон	вболівальники|гра|стадіон|футбол
🏠	будинок	будинок|будівля|вдома|дім
🏡	будинок із садом	будинок|будинок із садом|будівля|дім|сад
🏢	офісна будівля	будівля|офісна будівля
🏣	японське поштове відділення	будівля|пошта|японська пошта|японське поштове відділення|японський
🏤	поштове відділення	будівля|європейський|пошта|поштове відділення
🏥	лікарня	будівля|госпіталь|лікар|лікарня|медицина
🏦	банк	банк|будівля
🏧	символ банкомата	банківський автомат|банкомат|готівка|знак банкомата|зняти гроші|символ банкомата|термінал самообслуговування
🏨	готель	будівля|готель
🏩	готель кохання	будівля|готель|готель для закоханих|кохання|мотель
🏪	цілодобовий магазин	будівля|магазин|цілодобовий
🏫	школа	будівля|школа
🏬	універмаг	банк|будівля|офіс|універмаг
🏭	фабрика	будівля|завод|фабрика
🏮	червоний паперовий ліхтар	бар|ліхтар|ліхтар ізакайа|світло|червоний|червоний паперовий ліхтар|японський
🏯	японський замок	будівля|пагода|японський замок
🏰	замок	будівля|європейська|замок|фортеця
🏳️	білий прапор	білий прапор|майорить
🏳️‍⚧️	прапор трансгендерів	білий|блакитний|прапор|прапор трансгендерів|рожевий|трансгендер
🏳️‍🌈	веселковий прапор	веселка|веселковий|веселковий прапор|райдуга|райдужний прапор
🏴	чорний прапор	майорить|чорний прапор
🏴‍☠️	піратський прапор	Веселий Роджер|корсар|піратський|піратський прапор|скарб
🏵️	розета	бутон|квітка|розета|розетка|рослина|чорнобривець
🏷️	бирка	бейдж|бірка|мітка|ярлик
🏸	ракетка і волан для бадмінтону	бадмінтон|волан|воланчик|гра|ракетка|ракетка і волан для бадмінтону|спорт
🏹	лук і стріла	зброя|знаряддя|зодіак|лук|лук і стріла|лучник|стріла|стрілець|Стрілець
🏺	амфора	амфора|водолій|глек|зодіак|кулінарія|пити
🐀	щур	пацюк|тварина|щур
🐁	миша	миша|тварина
🐂	бик	бик|віл|зодіак|тварина|телець
🐃	буйвіл	буйвіл|тварина
🐄	корова	молоко|му|тварина|ферма
🐅	тигр	тварина|тигр|хижак
🐆	леопард	дика кішка|леопард|тварина|хижак
🐇	кролик	заєць|кріль|кролик|тварина
🐈	кіт	домашній улюбленець|кіт|коша|тварина
🐈‍⬛	чорний кіт	кіт|кішка|мяу|невдаха|невдача|нещастя|погана прикмета|тварина|чорний
🐉	дракон	дракон|казка
🐊	крокодил	алігатор|крокодил|тварина|хижак
🐋	кит	кит
🐌	равлик	павлик-равлик|петрик|природа|равлик|слимак|тварина
🐍	змія	гадюка|змієносець|змій|змія|зодіак
🐎	кінь	верхогони|кінні|кінь|перегони|скачки|тварина
🐏	баран	баран|вівця|гороскоп|зодіак|овен|тварина
🐐	цап	гороскоп|зодіак|козел|козеріг|тварина|цап
🐑	вівця	вівця|вовна|тварина|ферма|ягня
🐒	мавпа	мавпа|тварина
🐓	півень	когут|півень|птах
🐔	курка	квочка|курка|курча|птах
🐕	собака	домашня тварина|пес|собака|тварина
🐕‍🦺	службовий собака	допомога|доступність|службовий|собака|спеціальні можливості|супровід|тварина
🐖	свиня	льоха|порося|свиноматка|свиня|тварина
🐗	вепр	вепр|кабан|кнур|тварина
🐘	слон	слон|тварина
🐙	восьминіг	восьминіг
🐚	морська мушля	морська мушля|мушля|спіральна мушля|спіральний
🐛	комаха	гусінь|комаха|комашина|комашка
🐜	мураха	комаха|мураха
🐝	бджола	бджола|комаха
🐞	сонечко	жучок|комаха|корівка|сонечко
🐟	риба	гороскоп|зодіак|риба|риби
🐠	тропічна риба	море|океан|риба|тропічна риба|тропічний
🐡	риба-куля	риба|риба-їжак|риба-куля
🐢	черепаха	тварина|черепаха
🐣	курча, що вилуплюється	Великдень|вилуплюватися|курча|курча, що вилуплюється|новонароджений|прокльовуватися|птах|пташка|що вилуплюється
🐤	мале курча	курка|курча|курчатко|мале курча
🐥	курча, що стоїть	анфас|курча|орнітологія|пискля|пташа|пташка|тварина
🐦	птах	птах|пташка
🐦‍⬛	чорний птах	ворон|дзьоб|дрізд|каркати|крук|птах|тварина|чорний
🐦‍🔥	фенікс	відродження|жар-птиця|нове життя|оживлення|ожити|оновлення|перевтілення|повстати|слава|фантастика|фенікс
🐧	пінгвін	пінгвін|птах
🐨	коала	ведмідь|морда|тварина
🐩	пудель	пес|пудель|собака|тварина
🐪	одногорбий верблюд	верблюд|горб|дромадер|одногорбий|пустеля|Сахара|тварина
🐫	двогорбий верблюд	бактріан|верблюд|горб|двогорбий|караван|пустеля|тварина
🐬	дельфін	дельфін|плавець
🐭	морда миші	миша|мишача морда|морда|морда миші|пацюк|тварина
🐮	морда корови	коров’яча морда|коровʼяча морда|корова|морда|морда корови|тварина
🐯	морда тигра	морда|морда тигра|тварина|тигр|тигряча морда|хижак
🐰	морда кроля	заєць|кролик|кроляча морда|морда|морда кроля|тварина
🐱	морда кота	домашня тварина|кіт|котяча морда|морда|морда кота|тварина
🐲	голова дракона	голова|голова дракона|дракон|зелений дракон|казка
🐳	кит, що пускає фонтан	кит|обличчя|океан|пляж|тварина|фонтан
🐴	голова коня	голова коня|кінь|кобила|лоша|морда|тварина
🐵	морда мавпи	мавпа|мавпяча морда|морда|морда мавпи|тварина
🐶	морда собаки	морда|морда собаки|пес|собака|собача морда|тварина
🐷	рило свині	морда|порося|рило свині|свиня|свиняче рило|тварина
🐸	жаба	болото|жабʼяча|жаба|жабина|морда|тварина
🐹	хомʼяк	домашня тварина|морда|морда хом’яка|тварина|хом’як|хом’якова|хомʼяк
🐺	вовк	вовк|вовча|морда|тварина|хижак
🐻	ведмідь	ведмедева|ведмежа|ведмежача|ведмідь|морда|тварина
🐻‍❄️	полярний ведмідь	арктичний|білий|ведмідь|полярний
🐼	панда	морда|морда панди|панда|тварина
🐽	свинячий пʼятак	морда|рило|свиня|свиняче рильце|свинячий пʼятак
🐾	сліди лап	відбитки лап|лапа|слід|сліди лап
🐿️	бурундук	білка|бурундук|вивірка|тварина
👀	очі	обличчя|око|очі|тіло
👁️	око	око|тіло
👁️‍🗨️	око в текстовій бульці	значок свідка|око|око в текстовій бульці|проти переслідування|свідок|що символізує кампанію проти залякування
👂	вухо	вухо|слухати|слухаю|тіло
👃	ніс	ніс|тіло
👄	рот	губи|помада|поцілунок|рот|тіло|чутлива
👅	язик	тіло|язик
👆	палець тильним боком, що вказує вгору	вказівний|палець|палець тильним боком|палець тильним боком, що вказує вгору|показувати|рука|угору|указувати|що вказує вгору
👇	палець тильним боком, що вказує вниз	вказівний|дивись нижче|палець|палець тильним боком|палець тильним боком, що вказує вниз|рука|тильний|указувати|униз|що вказує вниз
👈	палець тильним боком, що вказує вліво	вліво|палець|показувати|рука|тильний бік|що вказує
👉	палець тильним боком, що вказує вправо	вказівний|палець|палець тильним боком|палець тильним боком, що вказує вправо|показувати|рука|указувати|управо|що вказує вправо
👊	кулак, що насувається	абсолютно|бро|бум|згода|кулак|правильно|рок|рука|стиснутий|удар
👋	рука махає	бувай|вітання|вітаю|дай пʼять|до зустрічі|долоня|махати|помах|привіт|рука|рука махає|тіло
👌	жест «окей»	гаразд|добре|жест|зрозуміло|круто|о’кей|рука|так|тіло|чудово
👍	великі пальці вгору	+1|великі пальці вгору|гаразд|добре|домовилися|класно|круто|палець угору|подобається|рука|супер|схвалення|так|тіло|файно|чудово
👎	великі пальці вниз	-1|великі пальці вниз|не подобається|палець униз|рука|тіло
👏	руки, що аплодують	аплодисменти|біс|браво|відмінно|вітання|оплески|плескати|рука|ура|чудово
👐	відкриті долоні	відкритий|відкриті долоні|відкриті руки|долоні|рука|тіло
👑	корона	ваша височність|королева|королевство|король|корона|одяг
👒	жіночий капелюшок	жінка|жіночий капелюх|жіночий капелюшок|капелюх|одяг
👓	окуляри	одяг|око|окуляри
👔	краватка	краватка|одяг
👕	теніска поло	одяг|теніска|теніска поло|топ|футболка
👖	джинси	джинси|одяг|штани
👗	сукня	одяг|сукня
👘	кімоно	кімоно|одяг
👙	бікіні	бікіні|купальник|одяг|плавати
👚	жіночий одяг	T-Shirt|блуза|жінка|жіночий одяг|одяг|топ|футболка
👛	гаманець	аксесуар|гаманець|гроші|монета|одяг
👜	сумка	одяг|сумка
👝	клатч	клатч|одяг|сумка
👞	чоловіча туфля	взуття|одяг|туфлі|чоловік|чоловіча туфля|чоловіче взуття
👟	кросівка	взуття|взуття для бігу|кросівка|кросівки|кросівок|одяг|спортивний
👠	туфля на високому підборі	взуття|жінка|каблук|одяг|туфлі|туфля на високому підборі|шпилька
👡	жіноча сандалія з підбором	взуття|жінка|жіноча сандалія з підбором|каблук|одяг|сандалі
👢	жіночий чобіт	взуття|жінка|жіночий чобіт|одяг|тепле взуття|чобіт
👣	сліди ніг	відбитки|відбиток|нога|одяг|слід|стопи|ступні|тіло
👤	силует бюсту людини	бюст|загадка|інкогніто|таємниця|тінь
👥	силуети двох людських бюстів	бюст|люди|силует|силуети двох людських бюстів
👦	хлопчик	людина|малеча|хлопець|хлопчик
👧	дівчинка	діва|дівчина|дівчинка|зодіак|хвостики|шкільниця
👨	чоловік	блондин|дорослий|людина|чоловік
👨‍⚕️	медичний працівник	лікар|медбрат|медик|медицина|медичний працівник|охорона здоровʼя|робота|терапевт|чоловік
👨‍⚖️	суддя-чоловік	закон|правосуддя|робота|суддя|суддя-чоловік|терези|чоловік
👨‍✈️	пілот	авіатор|капітан літака|літак|льотчик|пілот|робота|чоловік
👨‍🌾	фермер	господар|садівник|фермер|чоловік
👨‍🍳	кухар	кулінар|кухар|робота|чоловік|чоловік-кухар|шев-повар|шеф-кухар
👨‍🍼	чоловік годує дитину	батьківство|батько|годування|дитина|догляд|людина|немовля|няньчити|тато|турбота|чоловік|чоловік годує дитину
👨‍🎓	студент	абітурієнт|бонет|випускник|студент|чоловік
👨‍🎤	співак	артист|виконавець|зірка|людина|пісняр|рок|соліст|співак|чоловік
👨‍🎨	чоловік-художник	живописець|маляр|митець|палітра|пензлики|робота|творець|художник|чоловік-художник
👨‍🏫	учитель	викладач|вчитель|інструктор|професор|робота|учитель|чоловік
👨‍🏭	робітник	завод|конвеєр|промисловий|робітник|трудівник|фабрика|чоловік
👨‍💻	технолог	винахідник|кодувальник|комп’ютер|програміст|робота|розробник|технік-програміст|технолог|чоловік
👨‍💼	службовець	архітектор|менеджер|офіс|офісний працівник|службовець|чоловік
👨‍🔧	механік	водопровідник|електрик|електротехнік|механік|робота|сантехнік|фахівець|чоловік
👨‍🔬	науковець	біолог|інженер|наука|науковець|фізик|хімік|чоловік
👨‍🚀	астронавт	астронавт|космонавт|космос|ракета|робота|чоловік
👨‍🚒	пожежник	вогнеборець|пожежний автомобіль|пожежник|робота|чоловік
👨‍🦯	чоловік із тактильною тростиною	біла|білий|доступність|незрячий|сліпий|спеціальні можливості|тростина|ціпок|чоловік
👨‍🦼	чоловік у візку з електроприводом	візок|доступність|колісне крісло|людина|спеціальні можливості|чоловік|чоловік у візку|чоловік у візку з електроприводом
👨‍🦽	чоловік у візку з ручним приводом	візок|доступність|колісне крісло|спеціальні можливості|чоловік|чоловік у візку|чоловік у візку з ручним приводом
👩	жінка	білявка|доросла|жінка|людина
👩‍⚕️	медична працівниця	жінка|лікар|лікарка|медик|медицина|медична працівниця|медсестра|охорона здоровʼя|робота|терапевт
👩‍⚖️	жінка-суддя	жінка|жінка-суддя|закон|правосуддя|робота|справедливість|суддя|терези правосуддя
👩‍✈️	жінка-пілот	жінка|жінка-авіатор|жінка-пілот|літак|льотчиця|пілот|робота|стюардеса
👩‍🌾	фермерка	господарка|жінка|робота|садівник|садівниця|фермер|фермерка
👩‍🍳	кухарка	жінка|жінка-кухар|кулінарка|кухар|кухарка|повар|повариха|робота|шеф-кухарка|шеф-повар
👩‍🍼	жінка годує дитину	батьківство|годування|дитина|догляд|жінка|жінка годує дитину|людина|мама|материнство|мати|матуся|немовля
👩‍🎓	студентка	абітурієнтка|бонет|випускниця|жінка|студентка
👩‍🎤	співачка	артистка|виконавиця|жінка|зірка|людина|рок|солістка|співачка
👩‍🎨	художниця	жінка-митець|малярка|палітра|пензлики|робота|художниця
👩‍🏫	учителька	викладачка|вчителька|жінка|інструктор|професор|робота|учителька
👩‍🏭	робітниця	жінка|завод|зварка|конвеєр|монтаж|промисловий|робітник|робітниця|трудівниця|фабрика
👩‍💻	жінка-технолог	винахідниця|жінка|жінка-програміст|жінка-технолог|кодувальниця|офісна працівниця|робота|технік-програміст
👩‍💼	службовка	архітектор|ділова жінка|жінка|менеджер|офіс|офісна працівниця|службовка
👩‍🔧	жінка-механік	жінка|жінка-електротехнік|жінка-механік|жінка-сантехнік|жінка-фахівець|майстриня|полагодити|робота
👩‍🔬	жінка-науковець	жінка|жінка-біолог|жінка-інженер|жінка-науковець|жінка-фізик|жінка-хімік|наука|науковець|робота
👩‍🚀	астронавтка	астронавтка|жінка|жінка-космонавт|космонавтка|ракета|робота
👩‍🚒	жінка-пожежник	жінка|жінка-вогнеборець|жінка-пожежник|пожежний автомобіль|пожежник|робота
👩‍🦯	жінка з тактильною тростиною	біла|білий|доступність|жінка|незряча|сліпа|спеціальні можливості|тростина|ціпок
👩‍🦼	жінка у візку з електроприводом	візок|доступність|жінка|жінка у візку з електроприводом|колісне крісло|людина|спеціальні можливості
👩‍🦽	жінка у візку з ручним приводом	візок|доступність|жінка|жінка у візку з ручним приводом|колісне крісло|людина|спеціальні можливості
👪	родина	батько|дитина|мама|матір|родина|сімʼя|тато
👫	жінка й чоловік, що тримаються за руки	близнята|дружба|жінка|за руки|пара|побачення|тримати|флірт|чоловік
👬	чоловіки, що тримаються за руки	близнюки|Близнята|дружба|за руки|зодіак|лгбт|пара|флірт|хлопці|чоловіки
👭	жінки, що тримаються за руки	дівчата|жінки|жінки, що тримаються за руки|пара|подруги|подружки|рука|тримаються за руки|що тримаються за руки
👮	працівник поліції	коп|офіцер|поліцейський|поліцейський під прикриттям|поліція|працівник поліції|співробітник|штрафувати
👮‍♀️	жінка-поліцейський	жінка|жінка-поліцейський|коп|офіцер|полісменка|поліцейська|поліцейський|поліція|працівниця поліції|штраф
👮‍♂️	поліцейський	поліцейський|поліція|чоловік
👯	люди з кролячими вухами	близнюки|вечірка|вуха|дівчина|жінка|кролик|люди|люди з кролячими вухами|найкращі друзі|однакові|пара|танцівниці|танцівниця
👯‍♀️	жінки з кролячими вухами	вечірка|жінки|жінки з кролячими вухами|заячі вушка|розваги
👯‍♂️	чоловіки з кролячими вухами	вечірка|заячі вушка|парубки|розваги|чоловіки|чоловіки з кролячими вухами
👰	людина у фаті	весілля|людина|людина з фатою|людина у фаті|наречена|фата
👰‍♀️	жінка у фаті	вуаль|жінка|жінка з вуаллю|жінка у фаті|фата
👰‍♂️	чоловік у фаті	вуаль|фата|чоловік|чоловік з вуаллю|чоловік у фаті
👱	людина з білявим волоссям	біляве|блонд|блондин|волосся|людина|людина з білявим волоссям|людина зі світлим волоссям|обличчя|світле волосся|світлий
👱‍♀️	жінка з білявим волоссям	білява|білявка|блондинка|жінка|жінка з білявим волоссям
👱‍♂️	чоловік із білявим волоссям	білявий|блондин|волосся|чоловік із білявим волоссям
👲	чоловік у китайській шапці	гуа пі мао|кругла|чоловік|чоловік в кепці|чоловік у китайській шапці|шапочка
👳	людина в тюрбані	людина|людина в тюрбані|тюрбан
👳‍♀️	жінка в тюрбані	жінка|жінка в тюрбані|тюрбан
👳‍♂️	чоловік у тюрбані	тюрбан|чоловік|чоловік у тюрбані
👴	літній чоловік	дорослий|лисий|літній чоловік|пристарілий|старий|чоловік
👵	літня жінка	бабуся|в літах|доросла|жінка|літня жінка|людина|стара
👶	немовля	дитина|малеча|немовля
👷	будівельник	будівельник|будівництво|будувати|каска|працівник|ремонт|ремонтувати|робітник|робота|шолом
👷‍♀️	жінка-будівельник	будівельник|будівництво|жінка|жінка-будівельник|робітник|робітниця|робота
👷‍♂️	чоловік-будівельник	будівельник|будівництво|робітник|чоловік|чоловік-будівельник
👸	принцеса	казкова|королева|королівна|корона|принцеса|робота|чарівна
👹	велетень-людожер	велетень-людожер|казка|людожер|монстр|обличчя|створіння|фантазія|японський
👺	гоблін	гоблін|казка|монстр|обличчя|створіння|фантазія|японський
👻	привид	казка|каспер|монстр|обличчя|привид|створіння|фантазія
👼	янголятко	ангел|казка|немовля|обличчя|фантазія
👽	прибулець	казка|нло|обличчя|позаземний|прибулець|створіння|чужий
👾	іншопланетний монстр	іншопланетний монстр|космос|монстр|нло|обличчя|позаземний|прибулець|прибулець-монстр|створіння|фантазія
👿	сердите обличчя з рогами	демон|диявол|дідько|з рогами|обличчя|фантазія|чортеня
💀	череп	казка|монстр|обличчя|смерть|тіло|череп
💁	людина, що простягає руку допомоги	байдуже|довідка|допомога|інформація|сарказм|серйозно|чайові
💁‍♀️	жінка, що простягає руку допомоги	відповідати|жінка|жінка тягне руку|жінка, що простягає руку допомоги|нестриманість|тягнути руку|що простягає руку допомоги
💁‍♂️	чоловік, що простягає руку допомоги	відповідати|можливо|не знаю|нестриманість|секрет|тягнути руку|чоловік|чоловік тягне руку|чоловік, що простягає руку допомоги|що простягає руку допомоги
💂	варта	варта|караул|охорона|сторожа|чати
💂‍♀️	вартова	Букінгемський|вартівниця|гвардія|жінка|Лондон|охорона|охоронець|страж|чатова
💂‍♂️	вартовий	вартівник|вартовий|страж|чатовий
💃	жінка, що танцює	жінка|сальса|сукня|танго|танець|танок|фламенко
💄	помада	губна помада|косметика|помада|червона помада
💅	лак для нігтів	догляд|косметика|лак|лак для нігтів|манікюр|ніготь|нігті|робота|рука|тіло
💆	людина, якій роблять масаж голови	відпочинок|голова|догляд|масаж|обличчя|релакс|салон|турбота
💆‍♀️	жінка, якій роблять масаж голови	жінка|жінка, якій роблять масаж голови|масаж|обличчя|розслаблення|якій роблять масаж голови
💆‍♂️	чоловік, якому роблять масаж голови	масаж|обличчя|розслаблення|чоловік|чоловік, якому роблять масаж голови|чоловічий салон|якому роблять масаж голови
💇	людина, якій роблять стрижку	волосся|зачіска|косметологія|краса|перукар|перукарня|салон|стрижка
💇‍♀️	жінка, якій роблять стрижку	волосся|жінка|жінка, якій роблять стрижку|стрижка|якій роблять стрижку
💇‍♂️	чоловік, якому роблять стрижку	волосся|салон|стрижка|чоловік|чоловік, якому роблять стрижку|якому роблять стрижку
💈	вивіска перукаря (смугастий стовп)	вивіска|вивіска перукаря|вивіска перукаря (смугастий стовп)|зачіска|перукар|перукарня
💉	шприц	голка|інструмент|лікар|ліки|укол|хворий|шприц
💊	пігулка	за рецептом|лікар|ліки|пігулка|хворий
💋	слід цілунку	відбиток|вуста|губи|закоханість|поцілунок|серце
💌	любовний лист	закоханість|закохансіть|кохання|лист|любовний лист|пошта|серце
💍	каблучка	виходь за мене|діамант|заручення|каблучка|кохання|пропозиція
💎	коштовний камінь	діамант|дорогоцінний|камінь|кохання|коштовний камінь
💏	чоловік і жінка, що цілуються	закоханість|кохання|любов|людина|пара|побачення|поцілунок|річниця|стосунки
💐	букет	букет|квіти|квітка|кохання|рози|рослина
💑	чоловік і жінка із серцем між ними	закоханість|кохання|кохаю тебе|пара|побачення|серце|стосунки|чоловік і жінка із серцем між ними
💒	весілля	весілля|каплиця|кохання|церемонія
💓	серце, що бʼється	биття|емоція|кардіо|кохання|кохаю|люблю|пульсувати|пульсуюче|серце|серцебиття|ятк|ятл
💔	розбите серце	емоція|розбивати|розбите|розлука|самотній|сум
💕	два серця	кохання|кохаю|люблю|любов|пара|поцілунок|серця|ятк|ятл
💖	серце, що виблискує	блискітки|блискуче|захоплення|кохаю|люблю|рожеве|серце|сяйво|щастя|ятк|ятл
💗	серце, що зростає	емоція|захоплення|збільшується|зростає|нервувати|серце|серцебиття|я тебе кохаю|я тебе люблю|ятк|ятл
💘	серце, пробите стрілою	закоханість|купідон|пробите стрілою|серце|серце зі стрілою|серце, пробите стрілою|стріла
💙	синє серце	серце|синє серце|синій|холодне серце
💚	зелене серце	зелене серце|зелений|кохання|серце
💛	жовте серце	жовте серце|жовтий|кохання|серце
💜	пурпурове серце	бузковий|пурпурний|пурпурове серце|пурпуровий|серце|фіолетове серце|фіолетовий|шарлатовий
💝	серце зі стрічкою	валентин|кохання|серце|серце зі стрічкою|стрічка
💞	серця, що обертаються	емоція|кохання|любов|обертатися|річниця|серце
💟	прикраса із серцем	143|білий|кохання|прикраса із серцем|серце|стилізоване|фіолетовий
💠	ромб із крапкою	геометричний|діамант|крапка|малюнок|ромб із крапкою
💡	лампочка	електричний|ідея|лампочка|малюнок|світло
💢	символ гніву	гнів|злий|комікси|розлючений
💣	бомба	бомба|вибух|комікси|небезпечний
💤	умовне позначення сну	добраніч|комікси|ніч|сон|спати|спить|сплю|стомлений|хрр
💥	зіткнення	бах|бум|вибух|іскра|комікси|спалах
💦	краплі поту	бризки|вода|комікси|краплі|краплі поту|піт
