0️⃣	tecla: 0	0|cero|tecla
🏚️	casa abandonada	abandonada|casa|deshabitada|inhabitada|vacía
🏛️	edificio clásico	clásico|edificio
🏜️	desierto	arena|desierto
🏝️	isla desierta	desierta|isla
🏞️	parque nacional	nacional|parque
🏟️	estadio	estadio
🏠	casa	casa|vivienda
🏡	casa con jardín	casa|casa con jardín|construcción|jardín|vivienda
🏢	edificio de oficinas	construcción|edificio|edificio de oficinas|oficinas
🏣	oficina de correos japonesa	correos|edificio|japón|oficina de correos|oficina de correos japonesa
🏤	oficina de correos europea	correos|edificio|europa|oficina de correos|oficina de correos europea
🏥	hospital	doctor|edificio|hospital|medicina|médico
🏦	banco	banca|banco|edificio
🏧	señal de cajero automático	atm|banco|cajero|señal de cajero automático
🏨	hotel	alojamiento|edificio|hotel|turismo
🏩	hotel del amor	amor|edificio|hotel|hotel del amor
🏪	tienda 24 horas	edificio|establecimiento|tienda 24 horas|tienda de comestibles
🏫	colegio	colegio|edificio|escuela
🏬	grandes almacenes	comercio|grandes almacenes
🏭	fábrica	edificio|fábrica|industria
🏮	lámpara japonesa	izakaya|lámpara japonesa|lámpara roja|linterna izakaya|linterna japonesa|restaurante
🏯	castillo japonés	castillo|castillo japonés|construcción
🏰	castillo europeo	castillo|castillo europeo|construcción
🏳️	bandera blanca	bandera|blanca|ondear
🏳️‍⚧️	bandera transgénero	azul|bandera|blanco|LGTB|rosa|transgénero
🏳️‍🌈	bandera del arcoíris	arcoíris|bandera|bandera del arcoíris
🏴	bandera negra	bandera|negra|ondear
🏴‍☠️	bandera pirata	bandera pirata|botín|Jolly Roger|pirata|tesoro
🏵️	roseta	flor|planta|roseta
🏷️	etiqueta	etiqueta
🏸	bádminton	bádminton|pluma|raqueta|volante
🏹	arco y flecha	arco|arco y flecha|arquero|flecha|sagitario|zodiaco
🏺	ánfora	acuario|ánfora|beber|jarra|zodiaco
🐀	rata	rata|roedor
🐁	ratón	ratón|roedor
🐂	buey	buey|cabestro|tauro|zodiaco
🐃	búfalo de agua	agua|búfalo|búfalo de agua
🐄	vaca	bovino|res|vaca
🐅	tigre	felino|tigre
🐆	leopardo	felino|leopardo
🐇	conejo	conejito|conejo|gazapo
🐈	gato	gatete|gato|minino
🐈‍⬛	gato negro	gato|mala suerte|negro
🐉	dragón	cuento|dragón|fantasía
🐊	cocodrilo	caimán|cocodrilo
🐋	ballena	ballena|cachalote|cetáceo
🐌	caracol	caracol|caracola|molusco
🐍	serpiente	culebra|reptil|serpiente|víbora
🐎	caballo	caballo|caballo de carreras|carreras de caballos|ecuestre
🐏	carnero	aries|carnero|morueco|zodiaco
🐐	cabra	cabra|capricornio|caprino|chivo|zodiaco
🐑	oveja	borrego|cordero|oveja|ovino
🐒	mono	macaco|mono|simio
🐓	gallo	ave|gallina|gallinácea|gallo|pollo
🐔	gallina	ave|gallina|gallinácea|pollo
🐕	perro	cachorro|perrete|perrito|perro
🐕‍🦺	perro de servicio	accesibilidad|apoyo|asistencia|perro|perro de servicio|servicio
🐖	cerdo	cerdo|cochino|gorrino|puerco
🐗	jabalí	cerdo salvaje|jabalí
🐘	elefante	elefante|paquidermo
🐙	pulpo	cefalópodo|octópodo|pulpo
🐚	caracola	caracola|concha|espiral
🐛	bicho	bicho|gusano|insecto
🐜	hormiga	antenas|hormiga|insecto
🐝	abeja	abeja|insecto|miel
🐞	mariquita	cochinilla|insecto|mariquita
🐟	pez	pececillo|pescado|pez|piscis|zodiaco
🐠	pez tropical	pez|tropical
🐡	pez globo	globo|pez
🐢	tortuga	galápago|tortuga
🐣	pollito rompiendo el cascarón	ave|huevo|pollito|pollito rompiendo el cascarón|pollo
🐤	pollito	ave|pollito|pollo|polluelo
🐥	pollito de frente	ave|pollito|pollito de frente|pollo
🐦	pájaro	ave|pajarillo|pájaro
🐦‍⬛	pájaro negro	cuervo|grajo|mirlo|negro|pájaro
🐦‍🔥	fénix	ave de fuego|ave fénix|fantasía|fénix|reencarnación|renacer
🐧	pingüino	ave|pingüino
🐨	koala	cara|koala|marsupial
🐩	caniche	caniche|perrito|perro
🐪	dromedario	camello|desierto|dromedario|joroba
🐫	camello	bactriano|camello|desierto|dromedario|jorobas
🐬	delfín	cetáceo|delfín
🐭	cara de ratón	cara|cara de ratón|ratón
🐮	cara de vaca	cara|cara de vaca|vaca
🐯	cara de tigre	cara|cara de tigre|tigre
🐰	cara de conejo	cara|cara de conejo|conejo|mascota
🐱	cara de gato	cara|cara de gato|gato|mascota
🐲	cara de dragón	cara|cara de dragón|cuento|dragón|fantasía
🐳	ballena soltando un chorro	ballena|ballena soltando un chorro|chorro de agua
🐴	cara de caballo	caballo|cara|cara de caballo
🐵	cara de mono	cara|cara de mono|mono
🐶	cara de perro	cara|cara de perro|mascota|perro
🐷	cara de cerdo	cara|cara de cerdo|cerdo|gorrino
🐸	rana	cara|rana
🐹	hámster	cara|hámster|mascota
🐺	lobo	cara|lobo
🐻	oso	cara|oso
🐻‍❄️	oso polar	ártico|blanco|oso|polar
🐼	panda	cara|oso panda|panda
🐽	nariz de cerdo	cara|cerdo|morro|nariz|nariz de cerdo
🐾	huellas de pezuñas	huellas|huellas de pezuñas|pezuñas
🐿️	ardilla	ardilla
👀	ojos	cara|ojos
👁️	ojo	cuerpo|ojo
👁️‍🗨️	ojo en bocadillo de texto	bocadillo de texto|ojo|ojo en bocadillo de texto|testigo
👂	oreja	cuerpo|oreja
👃	nariz	cuerpo|nariz
👄	boca	boca|labios
👅	lengua	cuerpo|lengua
👆	dorso de mano con índice hacia arriba	apuntar|arriba|dedo|dorso de mano con índice hacia arriba|mano
👇	dorso de mano con índice hacia abajo	abajo|apuntar|dedo|dorso de mano con índice hacia abajo|mano
👈	dorso de mano con índice a la izquierda	dedo|dorso de mano con índice a la izquierda|índice|izquierda|mano
👉	dorso de mano con índice a la derecha	dedo|derecha|dorso de mano con índice a la derecha|índice|mano
👊	puño cerrado	puñetazo|puño|puño cerrado
👋	mano saludando	agitar|mano|mano saludando|saludar|saludo
👌	señal de aprobación con la mano	aprobación|mano|ok|señal de aprobación con la mano
👍	pulgar hacia arriba	arriba|mano|pulgar|pulgar hacia arriba|señal
👎	pulgar hacia abajo	abajo|mano|pulgar|pulgar hacia abajo|señal
👏	manos aplaudiendo	aplaudir|manos|manos aplaudiendo|palmas|señal
👐	manos abiertas	abiertas|manos
👑	corona	accesorios|complementos|corona|reina|rey
👒	sombrero de mujer	accesorio|mujer|ropa|sombrero|sombrero de mujer
👓	gafas	accesorios|gafas|ojo|ropa
👔	corbata	accesorio|corbata|ropa
👕	camiseta	camiseta|ropa
👖	vaqueros	pantalones|ropa|vaqueros
👗	vestido	mujer|ropa|vestido
👘	kimono	japonés|kimono|ropa
👙	bikini	baño|bikini|playa|ropa
👚	ropa de mujer	blusa|camisa|femenina|ropa|ropa de mujer
👛	monedero	accesorios|cartera|complementos|monedero
👜	bolso	accesorios|bolso|complementos
👝	bolso de mano	accesorios|bolso|bolso de mano|cartera|complementos
👞	zapato de hombre	calzado|hombre|ropa|zapato|zapato de hombre
👟	zapatilla deportiva	calzado|correr|ropa|tenis|zapatilla deportiva
👠	zapato de tacón	mujer|tacón|zapato|zapato de tacón
👡	sandalia de mujer	calzado|mujer|ropa|sandalia|sandalia de mujer
👢	bota de mujer	bota|bota de mujer|calzado|mujer|ropa
👣	huellas de pies	huellas|huellas de pies|pies
👤	silueta de busto	busto|silueta|silueta de busto
👥	dos siluetas de bustos	bustos|dos siluetas de bustos|siluetas
👦	niño	joven|niño
👧	niña	chica|joven|niña
👨	hombre	adulto|hombre
👨‍⚕️	profesional sanitario hombre	doctor|enfermero|médico|profesional sanitario hombre|sanitario|terapeuta hombre
👨‍⚖️	fiscal hombre	fiscal hombre|hombre|juez|justicia|magistrado
👨‍✈️	piloto hombre	avión|capitán|hombre|piloto|vuelo
👨‍🌾	profesional de la agricultura hombre	agricultor|campo|granjero|hombre|labrador|profesional de la agricultura hombre
👨‍🍳	chef hombre	chef|cocinero|hombre|pinche
👨‍🍼	hombre alimentando a bebé	alimentar|amamantar|bebé|hombre|hombre alimentando a bebé|lactancia
👨‍🎓	estudiante hombre	estudiante|graduado|hombre|licenciado|universitario
👨‍🎤	cantante hombre	artista|cantante hombre|estrella|hombre|rock
👨‍🎨	artista hombre	artista hombre|hombre|paleta|pintor|pinturas
👨‍🏫	docente hombre	docente hombre|educador|hombre|instructor|maestro|profesor
👨‍🏭	profesional industrial hombre	fábrica|montaje|obrero|operario|profesional industrial hombre|trabajador
👨‍💻	profesional de la tecnología hombre	desarrollador|hombre|informático|profesional de la tecnología hombre|programador|tecnólogo
👨‍💼	oficinista hombre	director|ejecutivo|empresa|hombre|oficina|oficinista
👨‍🔧	profesional de la mecánica hombre	electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre
👨‍🔬	profesional de la ciencia hombre	biólogo|científico|físico|hombre|profesional de la ciencia hombre|químico
👨‍🚀	astronauta hombre	astronauta|cohete|espacio|hombre
👨‍🚒	bombero hombre	apagafuegos|bombero|bombero hombre|camión|manguera
👨‍🦯	hombre con bastón	accesibilidad|bastón|ciego|hombre|hombre con bastón|invidente
👨‍🦼	hombre en silla de ruedas eléctrica	accesibilidad|hombre|hombre en silla de ruedas eléctrica|silla de ruedas
👨‍🦽	hombre en silla de ruedas manual	accesibilidad|hombre|hombre en silla de ruedas manual|silla de ruedas
👩	mujer	adulta|mujer
👩‍⚕️	profesional sanitario mujer	doctora|enfermera|médica|profesional sanitario mujer|sanitaria|terapeuta mujer
👩‍⚖️	fiscal mujer	fiscal mujer|jueza|justicia|magistrada|mujer
👩‍✈️	piloto mujer	avión|capitana|mujer|piloto|vuelo
👩‍🌾	profesional de la agricultura mujer	agricultora|campo|granjera|labradora|mujer|profesional de la agricultura mujer
👩‍🍳	chef mujer	chef|cocinera|mujer|pinche
👩‍🍼	mujer alimentando a bebé	alimentar|amamantar|bebé|lactancia|mujer|mujer alimentando a bebé
👩‍🎓	estudiante mujer	estudiante|graduada|licenciada|mujer|universitaria
👩‍🎤	cantante mujer	artista|cantante mujer|estrella|mujer|rock
👩‍🎨	artista mujer	artista mujer|mujer|paleta|pintora|pinturas
👩‍🏫	docente mujer	docente mujer|educadora|instructora|maestra|mujer|profesora
👩‍🏭	profesional industrial mujer	fábrica|montaje|obrera|operaria|profesional industrial mujer|trabajadora
👩‍💻	profesional de la tecnología mujer	desarrolladora|informática|mujer|profesional de la tecnología mujer|programadora|tecnóloga
👩‍💼	oficinista mujer	directora|ejecutiva|empresa|mujer|oficina|oficinista
👩‍🔧	profesional de la mecánica mujer	electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer
👩‍🔬	profesional de la ciencia mujer	bióloga|científica|física|mujer|profesional de la ciencia mujer|química
👩‍🚀	astronauta mujer	astronauta|cohete|espacio|mujer
👩‍🚒	bombera	apagafuegos|bombera|bombera mujera|camión|manguera
👩‍🦯	mujer con bastón	accesibilidad|bastón|ciega|invidente|mujer|mujer con bastón
👩‍🦼	mujer en silla de ruedas eléctrica	accesibilidad|mujer|mujer en silla de ruedas eléctrica|silla de ruedas
👩‍🦽	mujer en silla de ruedas manual	accesibilidad|mujer|mujer en silla de ruedas manual|silla de ruedas
👪	familia	familia
👫	mujer y hombre de la mano	hombre|hombre y mujer de la mano|mujer|mujer y hombre de la mano|novios|pareja
👬	hombres de la mano	gays|hombres|hombres de la mano|novios|pareja
👭	mujeres de la mano	lesbianas|mujeres|mujeres de la mano|novias|pareja
👮	agente de policía	agente|agente de policía|personas|policía
👮‍♀️	agente de policía mujer	agente|agente de policía mujer|mujer|poli|policía
👮‍♂️	agente de policía hombre	agente|agente de policía hombre|hombre|poli|policía
👯	personas con orejas de conejo	bailar|fiesta|orejas de conejo|personas|personas con orejas de conejo
👯‍♀️	mujeres con orejas de conejo	bailar|fiesta|mujer|mujeres con orejas de conejo|orejas de conejo
👯‍♂️	hombres con orejas de conejo	bailar|fiesta|hombre|hombres con orejas de conejo|orejas de conejo
👰	persona con velo	boda|novia|persona|persona con velo|velo
👰‍♀️	mujer con velo	boda|mujer|mujer con velo|novia|velo
👰‍♂️	hombre con velo	boda|hombre|hombre con velo|novio|velo
👱	persona adulta rubia	persona adulta rubia|rubia|rubias|rubio|rubios
👱‍♀️	mujer rubia	mujer|rubia|rubiales
👱‍♂️	hombre rubio	hombre|rubiales|rubio
👲	persona con gorro chino	gorro|gua|gua pi mao|mao|persona|persona con gorro chino
👳	persona con turbante	persona con turbante|turbante
👳‍♀️	mujer con turbante	mujer|mujer con turbante|turbante
👳‍♂️	hombre con turbante	hombre|hombre con turbante|turbante
👴	anciano	anciano|hombre|mayor
👵	anciana	anciana|mayor|mujer
👶	bebé	bebé|joven|niño
👷	profesional de la construcción	casco|construcción|obrero|profesional de la construcción|trabajador
👷‍♀️	profesional de la construcción mujer	albañila|construcción|mujer|obrera|profesional de la construcción mujer|trabajadora
👷‍♂️	profesional de la construcción hombre	albañil|construcción|hombre|obrero|profesional de la construcción hombre|trabajador
👸	princesa	cuento|fantasía|hadas|princesa
👹	demonio japonés oni	cara|cuento|cuernos|demonio japonés oni|sonrisa
👺	demonio japonés tengu	cara|cuento|demonio japonés tengu|fantasía|monstruo|tengu
👻	fantasma	cara|criatura|cuento|fantasma|monstruo
👼	bebé ángel	ángel|bebé|cara|cuento
👽	alienígena	alien|alienígena|cara|criatura|extraterrestre|ovni
👾	monstruo alienígena	alien|cara|criatura|extraterrestre|monstruo alienígena|ovni
👿	cara enfadada con cuernos	cara|cara enfadada con cuernos|cuernos|demonio|diablo
💀	calavera	calavera|cara|cuento|monstruo|muerte
💁	persona de mostrador de información	información|mano|mostrador|persona|persona de mostrador de información
💁‍♀️	empleada de mostrador de información	empleada de mostrador de información|información|mano|mostrador|mujer
💁‍♂️	empleado de mostrador de información	empleado de mostrador de información|hombre|información|mano|mostrador
💂	guardia	guardia|guardia real británica
💂‍♀️	guardia mujer	guardia|mujer|vigilante
💂‍♂️	guardia hombre	guardia|hombre|vigilante
💃	mujer bailando	bailar|mujer|mujer bailando
💄	pintalabios	barra|cosmética|labios|maquillaje|pintalabios
💅	pintarse las uñas	cosmética|esmalte|manicura|pintarse las uñas|uñas
💆	persona recibiendo masaje	cara|facial|masaje|persona recibiendo masaje|salón
💆‍♀️	mujer recibiendo masaje	cara|facial|masaje|mujer recibiendo masaje|salón
💆‍♂️	hombre recibiendo masaje	cara|facial|hombre recibiendo masaje|masaje|salón
💇	persona cortándose el pelo	belleza|corte|pelo|peluquero|persona cortándose el pelo
💇‍♀️	mujer cortándose el pelo	belleza|corte|mujer cortándose el pelo|pelo|peluquero
💇‍♂️	hombre cortándose el pelo	belleza|corte|hombre cortándose el pelo|pelo|peluquero
💈	poste de barbero	barbería|barbero|peluquero|poste|poste de barbero
💉	jeringuilla	aguja|jeringa|jeringuilla|medicina|médico
💊	píldora	comprimido|medicina|médico|pastilla|píldora
💋	marca de beso	beso|labios|marca de beso|romance
💌	carta de amor	amor|carta|carta de amor|corazón|correo
💍	anillo	anillo|diamante
💎	piedra preciosa	diamante|gema|joya|piedra|preciosa
💏	beso	beso|personas|romance
💐	ramo de flores	bouquet|flores|ramo|ramo de flores
💑	pareja enamorada	amor|pareja|pareja enamorada|personas enamoradas
💒	iglesia celebrando boda	boda|iglesia|iglesia celebrando boda|romance
💓	corazón latiendo	amor|corazón|corazón latiendo|emoción|latido
💔	corazón roto	corazón|emoción|partido|roto
💕	dos corazones	amantes|amor|corazón|dos corazones
💖	corazón brillante	amor|brillante|corazón brillante|emoción
💗	corazón creciente	corazón|creciente|emocionado|latido|nervioso
💘	corazón con flecha	amor|corazón|corazón con flecha|emoción|flecha
💙	corazón azul	azul|corazón|emoción
💚	corazón verde	corazón|emoción|verde
💛	corazón amarillo	amarillo|corazón|emoción
💜	corazón morado	corazón|emoción|morado
💝	corazón con lazo	corazón|corazón con lazo|emoción|lazo|san valentín
💞	corazones giratorios	corazón|corazones giratorios|giratorio
💟	adorno de corazón	adorno de corazón|corazón
💠	rombo con pétalo	flor|geometría|rombo|rombo con pétalo
💡	bombilla	bombilla|cómic|electricidad|idea|luz
💢	símbolo de enfado	cómic|enfadado|enfado|símbolo de enfado
💣	bomba	bomba|cómic|emoción
💤	símbolo de sueño	cómic|dormir|símbolo de sueño|sueño|zzz
💥	colisión	colisión|cómic
💦	gotas de sudor	cómic|emoción|gotas de sudor|sudor
💧	gota	agua|cómic|gota|sudor
💨	salir corriendo	carrera|cómic|correr|humo|salir corriendo
💩	caca con ojos	caca|caca con ojos|cómic|mierda|mojón
💪	bíceps flexionado	bíceps|cómic|flexionado|fuerte|músculo
💫	símbolo de mareo	cómic|emoción|estrella|mareo|símbolo de mareo
💬	bocadillo de diálogo	bocadillo|bocadillo de diálogo|cómic|conversación|diálogo
💭	bocadillo de pensamiento	bocadillo|bocadillo de pensamiento|burbuja|cómic|pensamiento
💮	flor blanca	blanca|flor
💯	cien puntos	100|cien puntos|pleno|puntos
💰	bolsa de dinero	bolsa|bolsa de dinero|bolsa de dólares|dinero
💱	cambio de divisas	cambio|cambio de divisas|dinero|divisa|moneda
💲	símbolo de dólar	dinero|dólar|símbolo|símbolo de dólar
💳	tarjeta de crédito	crédito|tarjeta|tarjeta de crédito
💴	billete de yen	billete|billete de banco|billete de yen|dinero|yen
💵	billete de dólar	billete|billete de banco|billete de dólar|dinero|dólar
💶	billete de euro	billete|billete de banco|billete de euro|dinero|euro
💷	billete de libra	billete de banco|billete de libra|dinero|libra
💸	billete con alas	billete|billete con alas|billete de banco|dinero|dinero con alas
💹	mercado al alza	alza|mercado|mercado al alza|mercado alcista|tabla
💺	asiento de transporte	asiento|asiento de transporte|plaza|silla
💻	ordenador portátil	ordenador|ordenador portátil|pc|personal
💼	maletín	cartera|documentos|maletín
💽	minidisc	disco|md|minidisc
💾	disquete	disco|disco de 3 1/2|disquete
💿	disco óptico	cd|disco|disco óptico
📀	disco DVD	disco|dvd
📁	carpeta de archivos	archivo|carpeta|carpeta de archivos
📂	carpeta de archivos abierta	abierta|archivo|carpeta|carpeta de archivos abierta
📃	página doblada	documento|página|página doblada
📄	página hacia arriba	anverso|documento|página|página hacia arriba
📅	calendario	calendario|fecha
📆	calendario recortable	calendario|calendario recortable|fecha
📇	organizador de fichas	cartera|ficha|organizador|organizador de fichas|tarjetas
📈	gráfica de evolución ascendente	ascendente|gráfica|gráfica de evolución ascendente|gráfico|tendencia ascendente
📉	gráfica de evolución descendente	descendente|gráfica|gráfica de evolución descendente|gráfico|tendencia descendente
📊	gráfico de barras	barras|gráfico|gráfico de barras
📋	portapapeles	papeles|pinza|portapapeles|tabla
📌	chincheta	chincheta|tachuela
📍	chincheta redonda	chincheta|chincheta redonda
📎	clip	clip
📏	regla	regla
📐	escuadra	escuadra|regla|regla triangular|triángulo
📑	marcadores	marcadores|pestañas
📒	libro de contabilidad	cuaderno|libro de contabilidad
📓	cuaderno	cuaderno|libreta
📔	cuaderno con tapa decorativa	cuaderno|cuaderno con tapa decorativa|decoración|tapa
📕	libro cerrado	cerrado|libro
📖	libro abierto	abierto|libro
📗	libro verde	libro|verde
📘	libro azul	azul|libro
📙	libro naranja	libro|naranja
📚	libros	libro|libros
📛	etiqueta identificativa	etiqueta|etiqueta identificativa|nombre
📜	pergamino	pergamino|pergamino de papel
📝	cuaderno de notas	comunicación|cuaderno de notas
📞	auricular de teléfono	auricular de teléfono|comunicación|teléfono
📟	busca	busca|comunicación|localizador
📠	máquina de fax	comunicación|fax|máquina de fax
📡	antena de satélite	antena|antena de satélite|comunicación|satélite
📢	altavoz de mano	altavoz|altavoz de mano|comunicación
📣	megáfono	comunicación|megáfono
📤	bandeja de salida	bandeja|bandeja de salida|comunicación|correo|enviado|salida
📥	bandeja de entrada	bandeja|bandeja de entrada|comunicación|correo|entrada|recibido
📦	paquete	caja|paquete
📧	correo electrónico	comunicación|correo|correo electrónico|sobre
📨	sobre entrante	carta|comunicación|correo|correo electrónico|sobre|sobre entrante
📩	sobre con flecha	carta|comunicación|correo|correo electrónico|sobre|sobre con flecha
📪	buzón cerrado con la bandera bajada	bandera|buzón|buzón cerrado|buzón cerrado con la bandera bajada|vacío
📫	buzón cerrado con la bandera levantada	bandera|buzón|buzón cerrado|buzón cerrado con la bandera levantada|con contenido
📬	buzón abierto con la bandera levantada	bandera|buzón|buzón abierto|buzón abierto con la bandera levantada|con contenido
📭	buzón abierto con la bandera bajada	bandera|buzón|buzón abierto|buzón abierto con la bandera bajada|vacío
📮	buzón	buzón|cartas|correo
📯	corneta de posta	corneta|corneta de posta|posta
📰	periódico	diario|periódico
📱	teléfono móvil	celular|móvil|teléfono
📲	móvil con una flecha	flecha|llamada|móvil|móvil con una flecha|recibir|teléfono
📳	modo vibración	modo vibración|móvil|teléfono|teléfono celular|vibración
📴	teléfono móvil apagado	apagado|móvil|teléfono|teléfono celular
📵	prohibido el uso de móviles	móvil|no hacer llamadas|prohibido|prohibido el uso de móviles|teléfono
📶	barras de cobertura	antena|barras de cobertura|celular|móvil|señal|teléfono
📷	cámara de fotos	cámara|cámara de fotos
📸	cámara con flash	cámara|cámara con flash|flash
📹	videocámara	cámara|vídeo|videocámara
📺	televisión	televisión|tv
📻	radio	radio
📼	cinta de vídeo	cinta|cinta de vídeo
📽️	proyector de cine	cine|película|proyector|proyector de cine
📿	rosario	collar|cuentas|religión|rosario
🔀	reproducción aleatoria	cruzado|flechas|flechas entrecruzadas|reproducción aleatoria
🔁	repetir	flechas|repetición|repetir
🔂	repetir una vez	flechas|repetición|repetir una vez|uno
🔃	flechas verticales en sentido horario	flechas|flechas verticales en sentido horario|flechas verticales sentido horario|horario|señal de recarga
🔄	flechas en sentido antihorario	dirección|flechas|flechas en sentido antihorario|señal de recarga|sentido antihorario
🔅	brillo bajo	bajo|brillo|señal de brillo bajo|tenue
🔆	brillo alto	alto|brillante|brillo|señal de brillo alto
🔇	altavoz silenciado	altavoz|altavoz con marca de cancelación|altavoz silenciado|mute|silencio
🔈	altavoz a volumen bajo	altavoz a volumen bajo|volumen bajo
🔉	altavoz a volumen medio	altavoz a volumen medio|altavoz con volumen medio|medio|volumen medio
🔊	altavoz a volumen alto	altavoz|altavoz a volumen alto|alto|volumen alto
🔋	pila	batería|pila
🔌	enchufe eléctrico	corriente|electricidad|eléctrico|enchufe
🔍	lupa orientada hacia la izquierda	buscar|lupa|lupa orientada hacia la izquierda
🔎	lupa orientada hacia la derecha	buscar|lupa|lupa orientada hacia la derecha
🔏	candado con pluma estilográfica	candado|candado con pluma estilográfica|cerrado|estilográfica|pluma|privacidad
🔐	candado cerrado y llave	candado|candado cerrado y llave|cerrado|llave|seguro
🔑	llave	contraseña|llave
🔒	candado cerrado	candado|cerrado|cerrar
🔓	candado abierto	abierto|abrir|candado
🔔	campana	campana
🔕	campana con signo de cancelación	campana|campana con signo de cancelación|cancelación|ruido
🔖	marcapáginas	marcador|marcapáginas
🔗	eslabón	eslabón
🔘	botón de opción	botón|botón de opción|opción
🔙	flecha BACK	atrás|atrás con flecha izquierda|back|flecha|flecha a la izquierda
🔚	flecha END	final|final con flecha izquierda|flecha|flecha a la izquierda|flecha END
🔛	flecha ON!	flecha|flecha de doble punta con la palabra "on" encima|flecha ON!|on|señal
🔜	flecha SOON	flecha|soon|soon con flecha a la derecha
🔝	flecha TOP	arriba|flecha hacia arriba|flecha TOP|top|top con flecha hacia arriba
🔞	prohibido para menos de 18 años	18|no apto para menores|prohibido|prohibido para menores de 18 años|prohibido para menos de 18 años
🔠	letras latinas mayúsculas	abcd|letras|letras latinas mayúsculas|mayúsculas
🔡	letras latinas minúsculas	abcd|letras|letras latinas minúsculas|minúsculas
🔢	números	1234|dígitos|números
🔣	símbolos	〒♪&%|símbolos
🔤	alfabeto latino	ABC|alfabeto latino|latino
🔥	fuego	fuego|llama
🔦	linterna	linterna|luz
🔧	llave inglesa	herramienta|llave inglesa
🔨	martillo	herramienta|martillo
🔩	tornillo y tuerca	herramienta|tornillo|tornillo y tuerca|tuerca
🔪	cuchillo de cocina	arma|cocinar|cuchillo|cuchillo de cocina
🔫	pistola de agua	agua|juguete|pistola|pistola de agua|verano
🔬	microscopio	instrumento|laboratorio|microscopio
🔭	telescopio	astronomía|instrumento|telescopio
🔮	bola de cristal	adivinación|bola|bola de cristal|buena fortuna|cristal
🔯	estrella de seis puntas	adivinación|buena fortuna|estrella|estrella de seis puntas|seis puntas
🔰	símbolo japonés para principiante	amarillo|japonés|principiante|símbolo japonés para principiante|verde
🔱	emblema de tridente	ancla|emblema|emblema de tridente|tridente
🔲	botón cuadrado con borde negro	botón|botón cuadrado con borde negro|cuadrado
🔳	botón cuadrado con borde blanco	botón|botón cuadrado con borde blanco|cuadrado
🔴	círculo rojo	círculo|geometría|rojo
🔵	círculo azul	azul|círculo|geometría
🔶	rombo naranja grande	geometría|naranja|rombo|rombo naranja grande
🔷	rombo azul grande	azul|geometría|rombo|rombo azul grande
🔸	rombo naranja pequeño	geometría|naranja|rombo|rombo naranja pequeño
🔹	rombo azul pequeño	azul|geometría|rombo|rombo azul pequeño
🔺	triángulo rojo hacia arriba	geometría|rojo|triángulo|triángulo hacia arriba rojo|triángulo rojo hacia arriba
🔻	triángulo rojo hacia abajo	geometría|rojo|triángulo|triángulo hacia abajo rojo|triángulo rojo hacia abajo
🔼	triángulo hacia arriba	arriba|botón|botón triángulo hacia arriba|triángulo|triángulo hacia arriba
🔽	triángulo hacia abajo	abajo|botón|botón triángulo hacia abajo|triángulo|triángulo hacia abajo
🕉️	om	hindú|om|religión
🕊️	paloma	ave|pájaro|paloma|paz
🕋	Kaaba	hach|islam|Kaaba|musulmán|religión|umrah
🕌	mezquita	islam|mezquita|religión
🕍	sinagoga	judaísmo|religión|sinagoga
🕎	menorá	candelabro|menorá|religión
🕐	1 en punto	1 en punto|1:00|reloj|una
🕑	2 en punto	2 en punto|2:00|dos|reloj
🕒	3 en punto	3 en punto|3:00|reloj|tres
🕓	4 en punto	4 en punto|4:00|cuatro|reloj
🕔	5 en punto	5 en punto|5:00|cinco|reloj
🕕	6 en punto	6 en punto|6:00|reloj|seis
🕖	7 en punto	7 en punto|7:00|reloj|siete
🕗	8 en punto	8 en punto|8:00|ocho|reloj
🕘	9 en punto	9 en punto|9:00|nueve|reloj
🕙	10 en punto	10 en punto|10:00|diez|reloj
🕚	11 en punto	11 en punto|11:00|once|reloj
🕛	12 en punto	12 en punto|12:00|doce|reloj
🕜	una y media	1:30|reloj|una y media
🕝	dos y media	2:30|dos y media|reloj
🕞	tres y media	3:30|reloj|tres y media
🕟	cuatro y media	4:30|cuatro y media|reloj
🕠	cinco y media	5:30|cinco y media|reloj
🕡	seis y media	6:30|reloj|seis y media
🕢	siete y media	7:30|reloj|siete y media
🕣	ocho y media	8:30|ocho y media|reloj
🕤	nueve y media	9:30|nueve y media|reloj
🕥	diez y media	10:30|diez y media|reloj
🕦	once y media	11:30|once y media|reloj
🕧	doce y media	12:30|doce y media|reloj
🕯️	vela	luz|vela
🕰️	reloj de sobremesa	reloj|reloj de sobremesa|sobremesa
🕳️	agujero	agujero|orificio
🕴️	persona trajeada levitando	levitar|negocios|persona|persona trajeada levitando|traje
🕵️	detective	cara|detective|espía
🕵️‍♀️	detective mujer	agente|detective|espía|investigadora|mujer
🕵️‍♂️	detective hombre	agente|detective|espía|hombre|investigador
🕶️	gafas de sol	gafas|gafas de sol|ojo|oscuras|sol
🕷️	araña	araña|insecto
🕸️	tela de araña	araña|tela|tela de araña|telaraña
🕹️	joystick	joystick|juego|mando|palanca|videojuego
🕺	hombre bailando	bailar|hombre|hombre bailando
🖇️	clips unidos	clips|unidos|unión
🖊️	bolígrafo	boli|bolígrafo|escribir
